layer,train_cv_mean,train_cv_std,val_accuracy,test_accuracy,n_train,n_val,n_test,n_features
0,0.6799999999999999,0.056236109396009974,0.78,0.8,400,100,100,768
1,0.7474999999999999,0.10105691465703869,0.78,0.82,400,100,100,768
2,0.82,0.06642665127793212,0.84,0.84,400,100,100,768
3,0.8375,0.11911129249571595,0.83,0.89,400,100,100,768
4,0.875,0.06614378277661478,0.89,0.91,400,100,100,768
5,0.9,0.04743416490252569,0.96,0.93,400,100,100,768
6,0.9100000000000001,0.07132671308843552,0.97,0.96,400,100,100,768
7,0.915,0.07132671308843552,0.98,0.95,400,100,100,768
8,0.925,0.06373774391990983,1.0,0.95,400,100,100,768
9,0.9,0.04183300132670377,0.97,0.99,400,100,100,768
10,0.86,0.03201562118716421,0.94,0.96,400,100,100,768
11,0.8525,0.04213074886588179,0.96,0.96,400,100,100,768
